id,status,needs_review,review_reasons,title,location,postcode,price_eur,rent_period,double_beds,url,thumbnail_url,first_seen,last_seen
daft-6616769,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Flat 7, 67 Rathgar Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1150,month,,https://www.daft.ie/for-rent/flat-7-67-rathgar-road-rathgar-dublin-6/6616769,,2026-07-09,2026-07-09
daft-6610003,active,True,description_mentions_double_bed;studio_or_single_bed_metadata;single_bedroom_metadata;one_person_studio,"Dromawling, Beaumont, Dublin 9, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1150,month,1,https://www.daft.ie/for-rent/dromawling-beaumont-dublin-9-beaumont-dublin-9/6610003,,2026-07-09,2026-07-09
daft-6614182,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Dodder Park Road, Rathfarnham, Co. Dublin","Rathfarnham, Dublin 14",Dublin 14,1165,month,,https://www.daft.ie/for-rent/dodder-park-road-rathfarnham-co-dublin/6614182,,2026-07-09,2026-07-09
rentie-6620301,active,False,,"Portland Lock, Portland Place, Dublin 1","North Circular Road, Dublin 1",Dublin 1,1165,month,1,https://www.rent.ie/rooms-to-rent/Portland-Lock-Portland-Place-Dublin-1-North-Circular-Road-Dublin-1/6620301,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00
daft-6598648,active,False,,"43 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1175,month,1,https://www.daft.ie/for-rent/43-north-circular-road-north-circular-road-dublin-7/6598648,,2026-07-09,2026-07-09
daft-6616654,active,True,double_bed_count_not_visible_in_email;single_bedroom_metadata;attached_to_family_home;double_bed_not_confirmed,"Rathfarnham, Templeogue, Dublin 14","Rathfarnham / Templeogue, Dublin 14",Dublin 14,1200,month,,https://www.daft.ie/for-rent/rathfarnham-templeogue-dublin-14/6616654,,2026-07-09,2026-07-09
daft-6615724,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Cromwellsfort Road, Dublin 12, Crumlin, Dublin 12","Crumlin, Dublin 12",Dublin 12,1200,month,,https://www.daft.ie/for-rent/cromwellsfort-road-dublin-12-crumlin-dublin-12/6615724,,2026-07-09,2026-07-09
daft-6564653,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"Flat 9, 1 Church Avenue, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1250,month,,https://www.daft.ie/for-rent/flat-9-1-church-avenue-rathmines-dublin-6/6564653,,2026-07-09,2026-07-09
daft-6616448,active,True,description_mentions_double_bed_area;studio_style_metadata;utilities_extra;verify_before_contacting,"Cedarbrook Place, Cherry Orchard, Dublin 10","Cherry Orchard, Dublin 10",Dublin 10,1300,month,1,https://www.daft.ie/for-rent/cedarbrook-place-cherry-orchard-dublin-10/6616448,,2026-07-09,2026-07-09
daft-6617372,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Leinster Square, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1300,month,,https://www.daft.ie/for-rent/leinster-square-rathgar-dublin-6/6617372,,2026-07-09,2026-07-09
daft-6617209,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"46 Beechwood Avenue Lower, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1300,month,,https://www.daft.ie/for-rent/46-beechwood-avenue-lower-ranelagh-dublin-6/6617209,,2026-07-09,2026-07-09
daft-6590392,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;description_mentions_single_bed;not_double,"Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1300,month,,https://www.daft.ie/for-rent/rathmines-dublin-6/6590392,,2026-07-09,2026-07-09
daft-6585762,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;wall_bed;double_bed_not_confirmed,"44 Merton Drive, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1300,month,,https://www.daft.ie/for-rent/44-merton-drive-ranelagh-ranelagh-dublin-6/6585762,,2026-07-09,2026-07-09
daft-6619691,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 9,Dublin 9,1300,month,,https://www.daft.ie/for-rent/59-drumcondra-road-lower-drumcondra-dublin-9/6619691?ea=1,,2026-07-16T09:58:14+00:00,2026-07-16T09:58:14+00:00
daft-6622751,active,True,postcode_not_visible_in_email;double_bed_count_not_visible_in_email,Property Alert,,,1300,month,,https://www.daft.ie/for-rent/clonliffe-road-drumcondra-drumcondra-co-dublin/6622751?ea=1,,2026-07-16T13:00:38+00:00,2026-07-16T13:00:38+00:00
daft-6562672,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;description_mentions_single;not_double,"Harrington Street, Portobello, Dublin 8","Portobello, Dublin 8",Dublin 8,1320,month,,https://www.daft.ie/for-rent/harrington-street-portobello-co-dublin/6562672,,2026-07-09,2026-07-09
daft-6616845,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"5 Nelson Street, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1325,month,,https://www.daft.ie/for-rent/5-nelson-street-north-circular-road-dublin-7/6616845,,2026-07-09,2026-07-09
daft-6584957,active,True,double_bed_count_not_visible_in_email;metadata_double_bedroom_7_shared_residence;house_share_or_multi_room;verify_specific_room,"North Circular Road, Dublin 7, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,month,1,https://www.daft.ie/for-rent/north-circular-road-dublin-7-north-circular-road-dublin-7/6584957,,2026-07-09,2026-07-09
daft-6617065,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,month,,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617065,,2026-07-09,2026-07-09
daft-6591721,active,False,,"Sundrive Road, Dublin 12","Sundrive Road, Dublin 12",Dublin 12,1400,month,1,https://www.daft.ie/for-rent/sundrive-road-dublin-12/6591721,,2026-07-09,2026-07-09
daft-6614745,active,True,description_mentions_double_bed;communal_kitchen;studio_or_room_share_verify,"144 Church Street, Smithfield, Dublin 7","Smithfield, Dublin 7",Dublin 7,1400,month,1,https://www.daft.ie/for-rent/144-church-street-smithfield-dublin-7/6614745,,2026-07-09,2026-07-09
daft-6609867,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"Rathdown Road, Dublin 7",Dublin 7,Dublin 7,1400,month,,https://www.daft.ie/for-rent/rathdown-road-dublin-7/6609867,,2026-07-09,2026-07-09
daft-6620675,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 16,Dublin 16,1400,month,,https://www.daft.ie/for-rent/moreen-avenue-dublin-16-dundrum-dublin-16/6620675?ea=1,,2026-07-14T11:22:14+00:00,2026-07-14T11:22:14+00:00
daft-6614378,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"Charleville Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1425,month,,https://www.daft.ie/for-rent/charleville-road-north-circular-road-dublin-7/6614378,,2026-07-09,2026-07-09
daft-6592602,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"North Circular Road, Dublin 1","North Circular Road, Dublin 1",Dublin 1,1450,month,,https://www.daft.ie/for-rent/north-circular-road-dublin-1/6592602,,2026-07-09,2026-07-09
daft-6622088,active,True,double_bed_count_not_visible_in_email,Property Alert,Dublin 6,Dublin 6,1450,month,,https://www.daft.ie/for-rent/flat-2-9-grosvenor-square-rathmines-dublin-6/6622088?ea=1,,2026-07-15T15:51:50+00:00,2026-07-15T15:51:50+00:00
