id,status,needs_review,review_reasons,title,location,postcode,price_eur,double_beds,url,thumbnail_url,first_seen,last_seen
daft-6616845,active,True,double_bed_count_not_visible_in_email,"5 Nelson Street, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1325,,https://www.daft.ie/for-rent/5-nelson-street-north-circular-road-dublin-7/6616845,,2026-07-09,2026-07-09
daft-6584957,active,True,double_bed_count_not_visible_in_email,"North Circular Road, Dublin 7, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,1,https://www.daft.ie/for-rent/north-circular-road-dublin-7-north-circular-road-dublin-7/6584957,,2026-07-09,2026-07-09
daft-6617065,active,True,double_bed_count_not_visible_in_email,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617065,,2026-07-09,2026-07-09
daft-6591721,active,False,,"Sundrive Road, Dublin 12","Sundrive Road, Dublin 12",Dublin 12,1400,1,https://www.daft.ie/for-rent/sundrive-road-dublin-12/6591721,,2026-07-09,2026-07-09
daft-6507487,active,True,double_bed_count_not_visible_in_email,"102 Rathmines Road Lower, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1400,,https://www.daft.ie/for-rent/102-rathmines-road-lower-rathmines-dublin-6/6507487,,2026-07-09,2026-07-09
daft-6614745,active,False,,"144 Church Street, Smithfield, Dublin 7","Smithfield, Dublin 7",Dublin 7,1400,1,https://www.daft.ie/for-rent/144-church-street-smithfield-dublin-7/6614745,,2026-07-09,2026-07-09
daft-6609867,active,True,double_bed_count_not_visible_in_email,"Rathdown Road, Dublin 7",Dublin 7,Dublin 7,1400,,https://www.daft.ie/for-rent/rathdown-road-dublin-7/6609867,,2026-07-09,2026-07-09
daft-6614378,active,True,double_bed_count_not_visible_in_email,"Charleville Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1425,,https://www.daft.ie/for-rent/charleville-road-north-circular-road-dublin-7/6614378,,2026-07-09,2026-07-09
daft-6522594,active,False,,"city end, south circular road, Portobello, Dublin 8","Portobello, Dublin 8",Dublin 8,1440,1,https://www.daft.ie/for-rent/flat-city-end-south-circular-road-dublin-8-portobello-dublin-8/6522594,,2026-07-09,2026-07-09
daft-6592602,active,True,double_bed_count_not_visible_in_email,"North Circular Road, Dublin 1","North Circular Road, Dublin 1",Dublin 1,1450,,https://www.daft.ie/for-rent/north-circular-road-dublin-1/6592602,,2026-07-09,2026-07-09
daft-6542726,active,True,double_bed_count_not_visible_in_email,"172 Benmadigan Road, Drimnagh, Dublin 12","Drimnagh, Dublin 12",Dublin 12,1475,,https://www.daft.ie/for-rent/172-benmadigan-road-drimnagh-dublin-12/6542726,,2026-07-09,2026-07-09
daft-6604547,active,True,double_bed_count_not_visible_in_email,"Flat 6, 238 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1475,,https://www.daft.ie/for-rent/flat-6-238-north-circular-road-north-circular-road-dublin-7/6604547,,2026-07-09,2026-07-09
daft-6614532,active,True,double_bed_count_not_visible_in_email,"9 Orwell Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1490,,https://www.daft.ie/for-rent/9-orwell-road-rathgar-dublin-6/6614532,,2026-07-09,2026-07-09
daft-6617074,active,True,double_bed_count_not_visible_in_email,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1495,,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617074,,2026-07-09,2026-07-09
daft-6577262,active,False,,"Echlin Buildings, Echlin Street, Dublin 8","Echlin Street, Dublin 8",Dublin 8,1500,1,https://www.daft.ie/for-rent/echlin-buildings-echlin-street-dublin-8/6577262,,2026-07-09,2026-07-09
daft-6575592,active,False,,"5 Dunville Avenue, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1500,1,https://www.daft.ie/for-rent/apartment-5-dunville-avenue-ranelagh-dublin-6/6575592,,2026-07-09,2026-07-09
daft-6614332,active,True,double_bed_count_not_visible_in_email,"Apartment 1, 55 Rathmines Road Upper, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/apartment-1-55-rathmines-road-upper-rathgar-dublin-6/6614332,,2026-07-09,2026-07-09
daft-6614424,active,True,double_bed_count_not_visible_in_email,"Flat 2, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/flat-2-53-belgrave-square-north-rathmines-dublin-6/6614424,,2026-07-09,2026-07-09
daft-6614454,active,True,double_bed_count_not_visible_in_email,"Flat 3, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/flat-3-53-belgrave-square-north-rathmines-dublin-6/6614454,,2026-07-09,2026-07-09
daft-6616744,active,True,double_bed_count_not_visible_in_email,"Portobello Dock, Portobello, Dublin 8","Portobello Dock, Portobello, Dublin 8",Dublin 8,1500,,https://www.daft.ie/for-rent/portobello-dock-portobello-dublin-8/6616744,,2026-07-09,2026-07-09
daft-6617445,active,True,double_bed_count_not_visible_in_email,"South Circular Road, Dublin 8, Dolphin's Barn, Dublin 8","Dolphin's Barn, Dublin 8",Dublin 8,1500,,https://www.daft.ie/for-rent/south-circular-road-dublin-8-dolphins-barn-dublin-8/6617445,,2026-07-09,2026-07-09
